roi_formatted,subj,phase,trained,correct
FUS,0118171,pre,True,0.2
FUS,0118172,post,False,0.2625
FUS,0118172,post,True,0.375
FUS,0118172,pre,False,0.2
FUS,0118172,pre,True,0.4
FUS,0119171,post,False,0.225
FUS,0119171,post,True,0.3125
FUS,0119171,pre,False,0.3
FUS,0119171,pre,True,0.2875
FUS,0119172,post,False,0.25
FUS,0119172,post,True,0.275
FUS,0119172,pre,False,0.175
FUS,0119172,pre,True,0.35
FUS,0119173,post,False,0.25
FUS,0119173,post,True,0.35
FUS,0119173,pre,False,0.2625
FUS,0119173,pre,True,0.2375
FUS,0119174,post,False,0.2
FUS,0119174,post,True,0.375
FUS,0119174,pre,False,0.2375
FUS,0119174,pre,True,0.2125
FUS,0120171,post,False,0.25
FUS,0120171,post,True,0.225
FUS,0120171,pre,False,0.275
FUS,0120171,pre,True,0.2375
FUS,0120172,post,False,0.2875
FUS,0120172,post,True,0.3
FUS,0120172,pre,False,0.2125
FUS,0120172,pre,True,0.3375
FUS,0120173,post,False,0.225
FUS,0120173,post,True,0.3125
FUS,0120173,pre,False,0.275
FUS,0120173,pre,True,0.3
FUS,0123171,post,False,0.2125
FUS,0123171,post,True,0.375
FUS,0123171,pre,False,0.225
FUS,0123171,pre,True,0.3125
FUS,0123173,post,False,0.2
FUS,0123173,post,True,0.2
FUS,0123173,pre,False,0.1625
FUS,0123173,pre,True,0.2
FUS,0124171,post,False,0.2875
FUS,0124171,post,True,0.25
FUS,0124171,pre,False,0.2125
FUS,0124171,pre,True,0.2875
FUS,0125171,post,False,0.2125
FUS,0125171,post,True,0.35
FUS,0125171,pre,False,0.1375
FUS,0125171,pre,True,0.2625
FUS,0125172,post,False,0.2875
FUS,0125172,post,True,0.2625
FUS,0125172,pre,False,0.25
FUS,0125172,pre,True,0.2375
FUS,1121161,post,False,0.2625
FUS,1121161,post,True,0.25
FUS,1121161,pre,False,0.225
FUS,1121161,pre,True,0.2
FUS,1130161,post,False,0.175
FUS,1130161,post,True,0.4
FUS,1130161,pre,False,0.325
FUS,1130161,pre,True,0.2
FUS,1202161,post,False,0.2375
FUS,1202161,post,True,0.175
FUS,1202161,pre,False,0.25
FUS,1202161,pre,True,0.2375
FUS,1203161,post,False,0.3
FUS,1203161,post,True,0.2375
FUS,1203161,pre,False,0.225
FUS,1203161,pre,True,0.2125
FUS,1206161,post,False,0.15
FUS,1206161,post,True,0.3
FUS,1206161,pre,False,0.275
FUS,1206161,pre,True,0.175
FUS,1206162,post,False,0.275
FUS,1206162,post,True,0.2125
FUS,1206162,pre,False,0.3125
FUS,1206162,pre,True,0.25
FUS,1206163,post,False,0.3
FUS,1206163,post,True,0.275
FUS,1206163,pre,False,0.275
FUS,1206163,pre,True,0.275
FUS,1207162,post,False,0.225
FUS,1207162,post,True,0.2625
FUS,1207162,pre,False,0.3625
FUS,1207162,pre,True,0.2125
HC,0110171,post,False,0.2
HC,0110171,post,True,0.3
HC,0110171,pre,False,0.2625
HC,0110171,pre,True,0.3
HC,0110172,post,False,0.2625
HC,0110172,post,True,0.25
HC,0110172,pre,False,0.275
HC,0110172,pre,True,0.2875
HC,0111171,post,False,0.225
HC,0111171,post,True,0.225
HC,0111171,pre,False,0.275
HC,0111171,pre,True,0.2375
HC,0112171,post,False,0.225
HC,0112171,post,True,0.3625
HC,0112171,pre,False,0.15
HC,0112171,pre,True,0.2
HC,0112172,post,False,0.3
HC,0112172,post,True,0.2875
HC,0112172,pre,False,0.275
HC,0112172,pre,True,0.2625
HC,0112173,post,False,0.2
HC,0112173,post,True,0.275
HC,0112173,pre,False,0.25
HC,0112173,pre,True,0.15
HC,0113171,post,False,0.275
HC,0113171,post,True,0.2375
HC,0113171,pre,False,0.225
HC,0113171,pre,True,0.275
HC,0115174,post,False,0.2125
HC,0115174,post,True,0.225
HC,0115174,pre,False,0.25
HC,0115174,pre,True,0.2125
HC,0117171,post,False,0.2375
HC,0117171,post,True,0.2375
HC,0117171,pre,False,0.1875
HC,0117171,pre,True,0.3125
HC,0118171,post,False,0.225
HC,0118171,post,True,0.275
HC,0118171,pre,False,0.225
HC,0118171,pre,True,0.2375
HC,0118172,post,False,0.2125
HC,0118172,post,True,0.2875
HC,0118172,pre,False,0.275
HC,0118172,pre,True,0.275
HC,0119171,post,False,0.275
HC,0119171,post,True,0.3375
HC,0119171,pre,False,0.1625
HC,0119171,pre,True,0.1875
HC,0119172,post,False,0.175
HC,0119172,post,True,0.25
HC,0119172,pre,False,0.2625
HC,0119172,pre,True,0.3
HC,0119173,post,False,0.2
HC,0119173,post,True,0.2875
HC,0119173,pre,False,0.2875
HC,0119173,pre,True,0.1875
HC,0119174,post,False,0.25
HC,0119174,post,True,0.25
HC,0119174,pre,False,0.1625
HC,0119174,pre,True,0.4
HC,0120171,post,False,0.175
HC,0120171,post,True,0.2875
HC,0120171,pre,False,0.2125
HC,0120171,pre,True,0.2625
HC,0120172,post,False,0.175
HC,0120172,post,True,0.2875
HC,0120172,pre,False,0.2
HC,0120172,pre,True,0.275
HC,0120173,post,False,0.275
HC,0120173,post,True,0.3
